name_en,name_sp,description_en,description_sp,base_price,attributes,view_count,purchase_count,preview_image_key,created_at,updated_at
"All Blue","Todo Azul","Deep royal blue and clear tips with extravagant 3D gold accents, clusters of jewels, and ornate, structured designs. This set is the definition of pure opulence, perfect for a statement look that commands attention. Each nail is a miniature work of art.","Puntas en azul real profundo y transparentes con extravagantes detalles dorados en 3D, grupos de joyas y diseños ornamentados y estructurados. Este set es la definición de pura opulencia, perfecto para una apariencia llamativa que exige atención. Cada uña es una obra de arte en miniatura.",40.00,,,,,all-blue.jpg,,
"Beauty And The Beast","La Bella y la Bestia","nude/peach base with gorgeous hand-painted red and gold-foil roses. An incredibly delicate and romantic vintage floral design. Inspired by classic romance, these nails evoke the elegance of a fairytale, while the gold-foil adds a touch of magical shimmer.","Base nude/melocotón con hermosas rosas pintadas a mano en rojo y lámina dorada. Un diseño floral vintage increíblemente delicado y romántico. Inspiradas en el romance clásico, estas uñas evocan la elegancia de un cuento de hadas, mientras que la lámina dorada añade un toque de brillo mágico.",40.00,,,,,beauty-and-the-beast.jpg,,
"Bloody Ballerina","Bailarina Sangrienta","Glossy cherry bloody and white design with delicate 3D white bows and ribbon tie details on a shorter, rounded shape. A stunning contrast of innocence and danger, this set is both scary and flirty. The 3D bows provide a sweet touch to an otherwise thrilling design.","Diseño brillante en rojo sangre cereza y blanco con delicados lazos 3D blancos y detalles de cintas en una forma más corta y redondeada. Un impresionante contraste de inocencia y peligro, este set es aterrador y coqueto a la vez. Los lazos 3D aportan un toque dulce a un diseño por lo demás emocionante.",40.00,,,,,bloody-ballerina.jpg,,
"Blue Bubble","Burbuja Azul","Soft matte pastel blue/green swirl art with delicate white flower and ripple accents. A calming, elegant look for a dreamy aesthetic. These nails are like a breath of fresh air, capturing the serene beauty of water and sky with a modern, soft-touch matte finish.","Suave arte de remolinos en azul/verde pastel mate con delicadas flores blancas y detalles ondulados. Una apariencia calmante y elegante para una estética de ensueño. Estas uñas son como un soplo de aire fresco, capturando la serena belleza del agua y el cielo con un moderno acabado mate suave al tacto.",40.00,,,,,blue-bubble.jpg,,
"Bubble Flower","Flor Burbuja","Fresh, watery green and pale yellow marble swirls with hand-painted white details and bubble effects. Your perfect ethereal, fairycore accessory. Step into an enchanted forest with this design, where the bubble effects create a unique, dewy look that's both magical and refreshing.","Remolinos de mármol fresco en verde acuático y amarillo pálido con detalles blancos pintados a mano y efectos de burbujas. Tu accesorio etéreo y 'fairycore' perfecto. Adéntrate en un bosque encantado con este diseño, donde los efectos de burbujas crean una apariencia húmeda única que es mágica y refrescante.",40.00,,,,,bubble-flower.jpg,,
"Charming Me","Encantándome","Adorable, playful set featuring a bear, ice cream cone, strawberries, and cheerful checkered patterns. This design delivers maximum cuteness for fun daily wear. Embrace your playful side, as each charm is meticulously crafted to bring a smile to your face.","Set adorable y juguetón que presenta un oso, un cono de helado, fresas y alegres patrones a cuadros. Este diseño ofrece la máxima ternura para un divertido uso diario. Abraza tu lado juguetón, ya que cada dije está meticulosamente elaborado para sacarte una sonrisa.",37.00,,,,,charming-me.jpg,,
"Cherry Blossom","Flor de Cerezo","Vibrant mix of pink, peach, and white marble, embellished with dried flower details, gold flakes, and subtle rhinestones. Perfect for a chic, summer vibe. Capture the fleeting beauty of spring with genuine dried flowers and gold flakes that create a sophisticated, multi-dimensional look.","Vibrante mezcla de mármol rosa, melocotón y blanco, adornada con detalles de flores secas, escamas de oro y sutiles pedrería. Perfecto para un ambiente chic de verano. Captura la belleza fugaz de la primavera con flores secas genuinas y escamas de oro que crean una apariencia sofisticada y multidimensional.",40.00,,,,,cherry-blossom.jpg,,
"Classy Black","Negro Elegante","Timeless nude base with a crisp, clean white or black French tip. Perfect for a sophisticated and versatile look. This set offers flawless, elevated elegance that is suitable for any occasion, from the boardroom to a black-tie event.","Base nude atemporal con una punta francesa nítida y limpia en blanco o negro. Perfecto para un look sofisticado y versátil. Este set ofrece una elegancia impecable y elevada que es adecuada para cualquier ocasión, desde la sala de juntas hasta un evento de gala.",40.00,,,,,classy-black.jpg,,
"Floral French","Francés Floral","Classic nude base with a bold black tip, accented by delicate white and pink flowers. A modern, sophisticated twist on the French manicure. This design reimagines the iconic look with a touch of botanical grace, creating a stunning contrast between the bold black and soft florals.","Base nude clásica con una audaz punta negra, acentuada por delicadas flores blancas y rosas. Un giro moderno y sofisticado a la manicura francesa. Este diseño reinventa el aspecto icónico con un toque de gracia botánica, creando un impresionante contraste entre el negro audaz y las suaves flores.",40.00,,,,,floral-french.jpg,,
"Galaxy Dream","Sueño Galáctico","Deep blue/black base with abstract chrome silver and white swirls, enhanced with small stars and chains. An edgy, modern, and high-fashion look. Hold the cosmos at your fingertips with this futuristic, avant-garde set.","Base profunda en azul/negro con abstractos remolinos en cromo plateado y blanco, realzados con pequeñas estrellas y cadenas. Un look vanguardista, moderno y de alta costura. Sostén el cosmos al alcance de tu mano con este set futurista y vanguardista.",40.00,,,,,galaxy-dream.jpg,,
